  Size Package
222KiB spacearyarya
220KiB littlewizard-data
216KiB gtkpool
208KiB supertransball2-data
208KiB ace-of-penguins
205KiB simutrans-makeobj
204KiB koules
191KiB 3dchess
189KiB openpref
188KiB cube2-server
184KiB xskat
183KiB xblast-tnt-levels
182KiB deal
180KiB pioneers-console-data
180KiB minetestmapper
177KiB hoichess
176KiB xsnow
171KiB freecell-solver-bin
169KiB xpenguins
168KiB qstat
165KiB fizmo-console
165KiB kgames
163KiB libdds0
158KiB xabacus
157KiB xscavenger
157KiB sjeng
155KiB gtans
152KiB hitori
148KiB qxw
148KiB pente
141KiB bsdgames-nonfree
138KiB pgn-extract
137KiB redeclipse-common
134KiB tetrinetx
133KiB morris
131KiB matanza
126KiB polyglot
122KiB filters
116KiB glaurung
116KiB lmemory
114KiB kcheckers
111KiB nsnake
109KiB hachu
103KiB wfut
 94KiB deutex
 94KiB wordplay
 93KiB openttd-openmsx
 92KiB gnuminishogi
 90KiB glulxe
 86KiB toga2
 84KiB empire
 84KiB liquidwar-server
 81KiB gnuboy-x
 80KiB dealer
 78KiB gplanarity
 74KiB xshogi
 74KiB typespeed
 71KiB purity-off
 70KiB pmars
 70KiB vitetris
 69KiB tfortunes
 69KiB ethereal-chess
 69KiB fairymax
 68KiB robotfindskitten
 67KiB open-adventure
 67KiB fortunes-min
 64KiB pioneers-metaserver
 63KiB dmagnetic
 63KiB mgt
 61KiB game-data-packager-runtime
 60KiB snake4
 59KiB xsok
 59KiB xphoon
 58KiB xdesktopwaves
 55KiB xgalaga++
 55KiB geekcode
 55KiB fortunes-debian-hints
 55KiB tfortune
 55KiB freesweep
 53KiB xzip
 53KiB jzip
 50KiB ballz-data
 48KiB xbill
 48KiB gmult
 44KiB searchandrescue-common
 42KiB tetrinet-client
 42KiB atom4
 42KiB xfireworks
 42KiB sudoku
 39KiB fathom
 37KiB netris
 35KiB el-ixir
 34KiB groundhog
 34KiB steam-devices
 33KiB curseofwar
 32KiB crazywa
 30KiB xonix
 30KiB xbomb
 29KiB uci2wb
 29KiB fortune-anarchism
 29KiB sudoku-solver
 29KiB nettoe
 28KiB cookietool
 28KiB pacvim
 28KiB xmountains
 26KiB purity
 26KiB dvorak7min
 25KiB tint
 24KiB xinv3d
 23KiB pacman
 23KiB cavezofphear
 23KiB xvier
 22KiB wmpuzzle
 22KiB empire-lafe
 22KiB jester
 22KiB scottfree
 21KiB xdemineur
 21KiB xjump
 21KiB pegsolitaire
 20KiB xtron
 20KiB ninvaders
 20KiB pacman4console
 20KiB greed
 17KiB petris
 16KiB piu-piu
 16KiB bombardier
 16KiB tetrinet-server
 16KiB sm
 15KiB empire-hub
 15KiB python3-minecraftpi
 15KiB 2048
 14KiB ogamesim
 13KiB sl
 13KiB xchain
 13KiB randtype
 12KiB an
 12KiB xflip
 12KiB xjokes
 12KiB rolldice
 11KiB nudoku
8.3KiB crafty-bitmaps
8.3KiB braillefont
   -1B xletters
   -1B runescape
   -1B rocksndiamonds
   -1B pinball-dev
   -1B ninix-aya
   -1B megaglest
   -1B lutris
   -1B libatlas-cpp-0.6-tools
   -1B laby
   -1B ksirk
   -1B knights
   -1B goverlay
